smiles,cramer,ames_alert,ames_sa,gradient
CCCCCCCCS(=O)C(C)Cc1ccc2c(c1)OCO2,III,0,,none
CCC,I,0,,none
C=CCOCC=C,III,0,,none
CC[C@@H](CO)NCCN[C@@H](CC)CO.Cl.Cl,III,0,,III
CCOCCC(C)CCC=C(C)C,I,0,,none
CCC(C)c1ccc2ncccc2c1,II,0,,none
OCC1COC(c2ccccc2)O1,I,0,,none
O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,III,0,,III
Cc1cc(C)cc(C)c1,I,0,,none
CC(=O)OC[C@H]1O[C@@H]([S-])[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O.CCP(CC)CC.[Au+],III,0,,none
CCCSC(O)(CS)CCC,III,0,,none
CC1CCOC2(CCCCC2)O1,I,0,,none
CCN(CC)C(=S)SSC(=S)N(CC)CC,III,0,,II
CCCCCCCCOC=O,I,0,,none
CN1CCCC1,II,0,,II
CCCC(O)CCO,I,0,,none
COC/C=C(\C)CCC=C(C)C,I,0,,none
COCC=C(C)CCC=C(C)C,I,0,,none
CCOC(=O)OC1=C(C)OC(C)C1=O,II,1,SA10_Ames,none
CC1=CCC2C(C1)C1CC2C2(C1)OC2C,III,1,SA7_Ames,none
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,III,0,,III
O=C1OCCCCCCCCCCOC1=O,I,0,,none
CC(C)COC=O,I,0,,none
CCCCOC(=O)c1ccccc1C(=O)OCC(CC)CCCC,I,0,,none
O=Cc1ccc(Cl)cc1,III,1,SA11_Ames,III
CCC(C)(C#N)N=NC(C)(C#N)CC,III,1,SA14_Ames,none
NO,III,0,,III
Nc1cc(Cl)ccc1Cl,III,1,SA28_Ames,III
CC(C)=CCC/C(C)=C/COC(=O)c1ccccc1O,I,0,,none
CC(C)CCc1ccc2c(c1)OCC(=O)CO2,II,0,,none
CCCC/C=C/COC(C)=O,I,0,,none
